time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 4621, 0.274616, 0, 4, 0, 0, 1
1, 4582, 0.277826, 0, 3, 0, 0, 1
2, 4555, 0.282547, 0, 4, 0, 0, 1
3, 4780, 0.258368, 0, 4, 0, 0, 1
4, 4664, 0.270798, 0, 5, 0, 0, 1
5, 4741, 0.252900, 0, 5, 0, 0, 0
6, 4616, 0.280329, 0, 4, 0, 0, 1
7, 4603, 0.286552, 0, 4, 0, 0, 1
8, 4579, 0.277790, 0, 4, 0, 0, 1
9, 4713, 0.253766, 0, 4, 0, 0, 1
10, 4758, 0.257671, 0, 4, 0, 0, 1
11, 4729, 0.260520, 0, 4, 0, 0, 1
12, 4633, 0.271746, 0, 4, 0, 0, 1
13, 4662, 0.269412, 0, 4, 0, 0, 1
14, 4688, 0.272184, 0, 5, 0, 0, 1
15, 4724, 0.262066, 0, 4, 0, 0, 1
16, 4753, 0.266779, 0, 4, 0, 0, 1
17, 4715, 0.271474, 0, 4, 0, 0, 1
18, 4503, 0.289141, 0, 5, 0, 0, 1
19, 4619, 0.281230, 0, 4, 0, 0, 1
20, 4534, 0.293119, 0, 4, 0, 0, 1
21, 4215, 0.321945, 0, 5, 0, 0, 1
22, 4615, 0.274756, 0, 4, 0, 0, 1
23, 4807, 0.248388, 0, 4, 0, 0, 0
24, 4748, 0.260741, 0, 4, 0, 0, 1
25, 4709, 0.270546, 0, 4, 0, 0, 1
26, 4647, 0.280181, 0, 4, 0, 0, 1
27, 4442, 0.298514, 0, 4, 0, 0, 1
28, 4440, 0.299775, 0, 4, 0, 0, 1
29, 4284, 0.322829, 0, 41, 0, 0, 1
30, 4746, 0.259587, 0, 4, 0, 0, 1
31, 4796, 0.247081, 0, 3, 0, 0, 0
32, 4576, 0.281250, 0, 4, 0, 0, 1
33, 4646, 0.277873, 0, 5, 0, 0, 1
34, 4542, 0.289080, 0, 4, 0, 0, 1
35, 4636, 0.273943, 0, 4, 0, 0, 1
36, 4678, 0.266139, 0, 3, 0, 0, 1
37, 4368, 0.312500, 0, 5, 0, 0, 1
38, 4592, 0.279834, 0, 5, 0, 0, 1
39, 4545, 0.282728, 0, 4, 0, 0, 1
40, 4730, 0.261099, 0, 4, 0, 0, 1
41, 4462, 0.290004, 0, 4, 0, 0, 1
42, 4456, 0.298698, 0, 4, 0, 0, 1
43, 4294, 0.311132, 0, 5, 0, 0, 1
44, 4609, 0.275982, 0, 3, 0, 0, 1
45, 4617, 0.282651, 0, 4, 0, 0, 1
46, 4596, 0.280026, 0, 5, 0, 0, 1
47, 4692, 0.263214, 0, 4, 0, 0, 1
48, 4675, 0.273797, 0, 4, 0, 0, 1
49, 4467, 0.291023, 0, 4, 0, 0, 1
50, 4484, 0.298840, 0, 3, 0, 0, 1
51, 4602, 0.277271, 0, 4, 0, 0, 1
52, 4623, 0.278823, 0, 4, 0, 0, 1
53, 4684, 0.265158, 0, 3, 0, 0, 1
54, 4650, 0.277849, 0, 4, 0, 0, 1
55, 4673, 0.266424, 0, 4, 0, 0, 1
56, 4800, 0.248958, 0, 4, 0, 0, 0
57, 4615, 0.283640, 0, 3, 0, 0, 1
58, 4417, 0.293638, 0, 4, 0, 0, 1
59, 4162, 0.353436, 0, 23, 0, 0, 1
60, 11, 0.363636, 0, 1, 0, 0, 1
