time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 4470, 0.307383, 0, 24, 0, 0, 1
1, 4619, 0.270621, 0, 8, 0, 0, 1
2, 4693, 0.272107, 0, 9, 0, 0, 1
3, 4443, 0.312627, 0, 6, 0, 0, 1
4, 4569, 0.295251, 0, 4, 0, 0, 1
5, 4506, 0.287173, 0, 5, 0, 0, 1
6, 4573, 0.277061, 0, 4, 0, 0, 1
7, 4643, 0.278053, 0, 4, 0, 0, 1
8, 4798, 0.253439, 0, 4, 0, 0, 0
9, 4757, 0.265714, 0, 4, 0, 0, 1
10, 4734, 0.265104, 0, 4, 0, 0, 1
11, 4358, 0.317118, 0, 20, 0, 0, 1
12, 4633, 0.279517, 0, 5, 0, 0, 1
13, 4576, 0.295455, 0, 4, 0, 0, 1
14, 4637, 0.277334, 0, 4, 0, 0, 1
15, 4661, 0.275692, 0, 5, 0, 0, 1
16, 4636, 0.278473, 0, 4, 0, 0, 1
17, 4620, 0.288528, 0, 4, 0, 0, 1
18, 4748, 0.258846, 0, 5, 0, 0, 0
19, 4782, 0.251150, 0, 4, 0, 0, 0
20, 4563, 0.286434, 0, 5, 0, 0, 1
21, 4548, 0.286280, 0, 5, 0, 0, 1
22, 4309, 0.324437, 0, 5, 0, 0, 1
23, 4581, 0.285964, 0, 4, 0, 0, 1
24, 4507, 0.295318, 0, 5, 0, 0, 1
25, 4408, 0.307623, 0, 6, 0, 0, 1
26, 4651, 0.280585, 0, 5, 0, 0, 1
27, 4554, 0.297760, 0, 4, 0, 0, 1
28, 4641, 0.280543, 0, 4, 0, 0, 1
29, 4623, 0.281419, 0, 5, 0, 0, 1
30, 4686, 0.271020, 0, 4, 0, 0, 1
31, 4565, 0.296824, 0, 6, 0, 0, 1
32, 4620, 0.280736, 0, 5, 0, 0, 1
33, 4699, 0.264737, 0, 5, 0, 0, 1
34, 4506, 0.294274, 0, 4, 0, 0, 1
35, 4665, 0.276099, 0, 5, 0, 0, 1
36, 4704, 0.265306, 0, 5, 0, 0, 1
37, 4719, 0.267218, 0, 4, 0, 0, 1
38, 4814, 0.244080, 0, 4, 0, 0, 0
39, 4673, 0.277552, 0, 5, 0, 0, 1
40, 4660, 0.281330, 0, 5, 0, 0, 1
41, 4212, 0.345679, 0, 19, 0, 0, 1
42, 4756, 0.262195, 0, 4, 0, 0, 1
43, 4630, 0.277106, 0, 5, 0, 0, 1
44, 4693, 0.275730, 0, 4, 0, 0, 1
45, 4660, 0.280901, 0, 4, 0, 0, 1
46, 4734, 0.266582, 0, 4, 0, 0, 1
47, 4670, 0.271092, 0, 5, 0, 0, 1
48, 4728, 0.263325, 0, 5, 0, 0, 1
49, 4614, 0.291721, 0, 4, 0, 0, 1
50, 4706, 0.273906, 0, 5, 0, 0, 1
51, 4778, 0.257011, 0, 4, 0, 0, 1
52, 4534, 0.289149, 0, 5, 0, 0, 1
53, 4741, 0.258384, 0, 4, 0, 0, 0
54, 4711, 0.268733, 0, 4, 0, 0, 1
55, 4733, 0.267906, 0, 5, 0, 0, 1
56, 4466, 0.309673, 0, 12, 0, 0, 1
57, 4565, 0.291347, 0, 4, 0, 0, 1
58, 4733, 0.266005, 0, 4, 0, 0, 1
59, 4693, 0.282548, 0, 5, 0, 0, 1
60, 11, 0.363636, 0, 1, 0, 0, 1
