time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 4191, 0.346934, 0, 35, 0, 0, 1
1, 4264, 0.320591, 0, 5, 0, 0, 1
2, 4355, 0.318714, 0, 4, 0, 0, 1
3, 4677, 0.273252, 0, 5, 0, 0, 1
4, 4564, 0.285495, 0, 4, 0, 0, 1
5, 4770, 0.260587, 0, 4, 0, 0, 1
6, 4739, 0.254273, 0, 5, 0, 0, 0
7, 4665, 0.270954, 0, 4, 0, 0, 1
8, 4562, 0.287155, 0, 4, 0, 0, 1
9, 4628, 0.279170, 0, 4, 0, 0, 1
10, 4432, 0.312049, 0, 5, 0, 0, 1
11, 4593, 0.285870, 0, 4, 0, 0, 1
12, 4673, 0.270062, 0, 4, 0, 0, 1
13, 4445, 0.301687, 0, 5, 0, 0, 1
14, 4263, 0.303777, 0, 4, 0, 0, 1
15, 4651, 0.271770, 0, 8, 0, 0, 1
16, 4788, 0.251044, 0, 5, 0, 0, 0
17, 4640, 0.271336, 0, 5, 0, 0, 1
18, 4526, 0.288555, 0, 4, 0, 0, 1
19, 4613, 0.283330, 0, 4, 0, 0, 1
20, 4697, 0.262295, 0, 5, 0, 0, 1
21, 4343, 0.316601, 0, 5, 0, 0, 1
22, 4690, 0.268230, 0, 4, 0, 0, 1
23, 4536, 0.291226, 0, 6, 0, 0, 1
24, 4652, 0.274936, 0, 6, 0, 0, 1
25, 4425, 0.310282, 0, 4, 0, 0, 1
26, 4461, 0.314055, 0, 5, 0, 0, 1
27, 4467, 0.305126, 0, 4, 0, 0, 1
28, 4607, 0.289125, 0, 5, 0, 0, 1
29, 4647, 0.278029, 0, 4, 0, 0, 1
30, 4319, 0.329243, 0, 32, 0, 0, 1
31, 4711, 0.268308, 0, 4, 0, 0, 1
32, 4414, 0.317626, 0, 5, 0, 0, 1
33, 4407, 0.318357, 0, 5, 0, 0, 1
34, 4413, 0.305688, 0, 5, 0, 0, 1
35, 4507, 0.293321, 0, 4, 0, 0, 1
36, 4702, 0.268822, 0, 4, 0, 0, 1
37, 4712, 0.262733, 0, 5, 0, 0, 0
38, 4657, 0.275285, 0, 6, 0, 0, 1
39, 4583, 0.287148, 0, 4, 0, 0, 1
40, 4519, 0.300288, 0, 5, 0, 0, 1
41, 4550, 0.283077, 0, 6, 0, 0, 1
42, 4674, 0.277493, 0, 4, 0, 0, 1
43, 4741, 0.252267, 0, 4, 0, 0, 0
44, 4652, 0.277300, 0, 6, 0, 0, 1
45, 4605, 0.285125, 0, 4, 0, 0, 1
46, 4533, 0.298257, 0, 5, 0, 0, 1
47, 4610, 0.290889, 0, 4, 0, 0, 1
48, 4740, 0.255485, 0, 4, 0, 0, 0
49, 4744, 0.256113, 0, 5, 0, 0, 0
50, 4738, 0.265091, 0, 4, 0, 0, 1
51, 4563, 0.297173, 0, 7, 0, 0, 1
52, 4544, 0.281470, 0, 5, 0, 0, 1
53, 4566, 0.286903, 0, 5, 0, 0, 1
54, 4402, 0.292821, 0, 5, 0, 0, 1
55, 4772, 0.257754, 0, 4, 0, 0, 0
56, 4679, 0.266296, 0, 5, 0, 0, 1
57, 4608, 0.280599, 0, 5, 0, 0, 1
58, 4475, 0.308603, 0, 8, 0, 0, 1
59, 4691, 0.272010, 0, 4, 0, 0, 1
60, 3, 0.666667, 0, 1, 0, 1, 1
