time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 4679, 2.890575, 0, 15, 2, 3, 4
1, 4867, 2.780563, 0, 14, 2, 2, 4
2, 4798, 2.817632, 0, 19, 2, 2, 4
3, 4774, 2.833473, 0, 13, 2, 3, 4
4, 4693, 2.891541, 0, 14, 2, 3, 4
5, 4702, 2.888983, 0, 12, 2, 3, 4
6, 4684, 2.886849, 0, 51, 2, 2, 4
7, 4645, 2.925081, 0, 28, 2, 2, 4
8, 4724, 2.868120, 0, 11, 2, 3, 4
9, 4760, 2.836765, 0, 13, 2, 3, 4
10, 4942, 2.720154, 0, 12, 2, 2, 3
11, 4839, 2.784460, 0, 12, 2, 2, 4
12, 4700, 2.875957, 0, 13, 2, 3, 4
13, 4819, 2.797261, 0, 14, 2, 2, 4
14, 4648, 2.920396, 0, 12, 2, 3, 4
15, 4823, 2.796807, 0, 13, 2, 2, 4
16, 4988, 2.680834, 0, 12, 2, 2, 3
17, 4690, 2.878891, 0, 10, 2, 3, 4
18, 4885, 2.752508, 0, 12, 2, 2, 4
19, 4854, 2.777297, 0, 11, 2, 2, 4
20, 4733, 2.859286, 0, 12, 2, 3, 4
21, 4664, 2.901801, 0, 10, 2, 3, 4
22, 4741, 2.852563, 0, 11, 2, 3, 4
23, 4592, 2.959495, 0, 14, 2, 3, 4
24, 4787, 2.823689, 0, 13, 2, 3, 4
25, 4761, 2.841630, 0, 11, 2, 3, 4
26, 4966, 2.696335, 0, 15, 2, 2, 3
27, 4756, 2.845248, 0, 12, 2, 3, 4
28, 4848, 2.780941, 0, 13, 2, 2, 4
29, 4991, 2.683831, 0, 11, 2, 2, 3
30, 4712, 2.880518, 0, 12, 2, 3, 4
31, 4927, 2.728232, 0, 9, 2, 2, 3
32, 4752, 2.849958, 0, 12, 2, 3, 4
33, 4799, 2.813086, 0, 11, 2, 2, 4
34, 4619, 2.943278, 0, 18, 2, 3, 4
35, 4922, 2.730597, 0, 13, 2, 2, 3
36, 4766, 2.830256, 0, 31, 2, 2, 4
37, 4878, 2.756868, 0, 11, 2, 2, 4
38, 4790, 2.818372, 0, 10, 2, 3, 4
39, 4946, 2.706025, 0, 12, 2, 2, 3
40, 4905, 2.737207, 0, 13, 2, 2, 3
41, 4971, 2.704285, 0, 15, 2, 2, 3
42, 4961, 2.690183, 0, 17, 2, 2, 3
43, 4718, 2.883637, 0, 13, 2, 3, 4
44, 4797, 2.809256, 0, 12, 2, 2, 4
45, 4724, 2.865580, 0, 13, 2, 3, 4
46, 4650, 2.903656, 0, 12, 2, 3, 4
47, 4939, 2.717149, 0, 12, 2, 2, 3
48, 4813, 2.802826, 0, 22, 2, 2, 4
49, 4788, 2.825188, 0, 12, 2, 3, 4
50, 5045, 2.656095, 0, 12, 2, 2, 3
51, 4827, 2.795732, 0, 11, 2, 2, 4
52, 4636, 2.931191, 0, 12, 2, 3, 4
53, 5011, 2.676113, 0, 10, 2, 2, 3
54, 4808, 2.807612, 0, 11, 2, 2, 4
55, 4856, 2.770181, 0, 13, 2, 2, 4
56, 4867, 2.765359, 0, 12, 2, 2, 4
57, 4620, 2.933766, 0, 12, 2, 3, 4
58, 4848, 2.778053, 0, 12, 2, 2, 4
59, 4760, 2.843067, 0, 13, 2, 3, 4
60, 11, 2.727273, 1, 7, 1, 2, 5
