time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 2270, 1.234802, 0, 49, 1, 1, 2
1, 2508, 1.083732, 0, 5, 1, 1, 1
2, 2542, 1.059009, 0, 5, 1, 1, 1
3, 2510, 1.071315, 0, 5, 1, 1, 1
4, 2486, 1.090105, 0, 5, 1, 1, 1
5, 2546, 1.071485, 0, 5, 1, 1, 1
6, 2542, 1.052321, 0, 6, 1, 1, 1
7, 2546, 1.061665, 0, 4, 1, 1, 1
8, 2513, 1.082770, 0, 4, 1, 1, 1
9, 2511, 1.074472, 0, 5, 1, 1, 1
10, 2595, 1.023892, 0, 4, 1, 1, 1
11, 2519, 1.068281, 0, 5, 1, 1, 1
12, 2470, 1.091093, 0, 5, 1, 1, 1
13, 2601, 1.014610, 0, 5, 1, 1, 1
14, 2572, 1.037325, 0, 5, 1, 1, 1
15, 2528, 1.068829, 0, 5, 1, 1, 1
16, 2519, 1.074236, 0, 5, 1, 1, 1
17, 2549, 1.047077, 0, 5, 1, 1, 1
18, 2475, 1.100606, 0, 5, 1, 1, 1
19, 2590, 1.024710, 0, 5, 1, 1, 1
20, 2468, 1.100081, 0, 10, 1, 1, 1
21, 2495, 1.088978, 0, 5, 1, 1, 1
22, 2519, 1.070266, 0, 5, 1, 1, 1
23, 2537, 1.058731, 0, 5, 1, 1, 1
24, 2442, 1.126126, 0, 7, 1, 1, 1
25, 2518, 1.069102, 0, 5, 1, 1, 1
26, 2457, 1.117216, 0, 5, 1, 1, 1
27, 2563, 1.054233, 0, 6, 1, 1, 1
28, 2507, 1.082968, 0, 5, 1, 1, 1
29, 2504, 1.087061, 0, 4, 1, 1, 1
30, 2358, 1.173452, 0, 39, 1, 1, 1
31, 2498, 1.081265, 0, 5, 1, 1, 1
32, 2549, 1.050216, 0, 5, 1, 1, 1
33, 2492, 1.078652, 0, 5, 1, 1, 1
34, 2565, 1.038596, 0, 5, 1, 1, 1
35, 2561, 1.044904, 0, 5, 1, 1, 1
36, 2480, 1.090726, 0, 5, 1, 1, 1
37, 2491, 1.096347, 0, 5, 1, 1, 1
38, 2550, 1.047843, 0, 4, 1, 1, 1
39, 2517, 1.068335, 0, 5, 1, 1, 1
40, 2458, 1.111880, 0, 5, 1, 1, 1
41, 2416, 1.131623, 0, 6, 1, 1, 1
42, 2430, 1.123457, 0, 7, 1, 1, 1
43, 2508, 1.072169, 0, 6, 1, 1, 1
44, 2399, 1.141309, 0, 7, 1, 1, 1
45, 2526, 1.070071, 0, 5, 1, 1, 1
46, 2481, 1.097541, 0, 6, 1, 1, 1
47, 2485, 1.103823, 0, 5, 1, 1, 1
48, 2457, 1.098494, 0, 5, 1, 1, 1
49, 2545, 1.049509, 0, 5, 1, 1, 1
50, 2414, 1.130075, 0, 10, 1, 1, 1
51, 2566, 1.033905, 0, 6, 1, 1, 1
52, 2501, 1.083567, 0, 5, 1, 1, 1
53, 2547, 1.055359, 0, 4, 1, 1, 1
54, 2458, 1.107404, 0, 5, 1, 1, 1
55, 2460, 1.102846, 0, 6, 1, 1, 1
56, 2528, 1.062500, 0, 5, 1, 1, 1
57, 2558, 1.047694, 0, 6, 1, 1, 1
58, 2521, 1.065054, 0, 5, 1, 1, 1
59, 2588, 1.032844, 0, 6, 1, 1, 1
60, 12, 0.833333, 0, 1, 1, 1, 1
