time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 4396, 14.024568, 0, 105, 7, 12, 18
1, 4649, 13.261347, 0, 95, 7, 11, 18
2, 4635, 13.282848, 0, 75, 7, 12, 17
3, 4695, 13.131629, 0, 65, 7, 12, 17
4, 4777, 12.872723, 0, 79, 6, 11, 17
5, 5009, 12.264723, 0, 74, 6, 10, 16
6, 4927, 12.457479, 0, 78, 6, 11, 16
7, 4929, 12.442078, 0, 76, 6, 11, 16
8, 4700, 13.109787, 0, 77, 7, 11, 17
9, 4702, 13.070821, 0, 70, 7, 11, 17
10, 4856, 12.682867, 0, 65, 7, 11, 16
11, 4690, 13.131557, 0, 69, 7, 11, 17
12, 4512, 13.628546, 0, 79, 8, 12, 18
13, 4959, 12.377697, 0, 70, 6, 11, 16
14, 4977, 12.379747, 0, 64, 6, 11, 16
15, 4862, 12.622995, 0, 70, 6, 11, 17
16, 4795, 12.834828, 0, 81, 6, 11, 17
17, 4535, 13.532745, 0, 65, 7, 12, 17
18, 4562, 13.577159, 0, 94, 7, 11, 18
19, 4814, 12.780640, 0, 68, 7, 11, 17
20, 4725, 13.015238, 0, 87, 7, 11, 17
21, 4797, 12.846154, 0, 82, 7, 11, 17
22, 4788, 12.851921, 0, 73, 7, 11, 17
23, 4520, 13.607522, 0, 81, 7, 12, 18
24, 4625, 13.314595, 0, 68, 7, 12, 18
25, 4770, 12.911321, 0, 85, 7, 11, 17
26, 4663, 13.214025, 0, 79, 7, 11, 17
27, 4383, 14.060233, 1, 83, 8, 12, 18
28, 4614, 13.329866, 0, 74, 7, 12, 17
29, 4779, 12.879473, 0, 81, 7, 11, 17
30, 4621, 13.310755, 0, 79, 7, 12, 17
31, 4530, 13.632230, 1, 69, 7, 12, 18
32, 4579, 13.477834, 0, 68, 7, 12, 17
33, 4681, 13.151036, 0, 74, 7, 11, 17
34, 4562, 13.481587, 0, 71, 7, 12, 18
35, 4801, 12.801291, 0, 63, 7, 11, 17
36, 4488, 13.756684, 0, 76, 8, 12, 18
37, 4565, 13.498357, 0, 85, 8, 12, 17
38, 4657, 13.210006, 0, 97, 7, 11, 17
39, 4513, 13.632395, 1, 66, 7, 12, 18
40, 4660, 13.211373, 0, 96, 7, 11, 17
41, 4614, 13.358908, 0, 99, 7, 12, 17
42, 4565, 13.501643, 0, 78, 7, 12, 18
43, 4726, 13.042319, 0, 66, 7, 11, 17
44, 4664, 13.183533, 0, 77, 7, 11, 17
45, 4720, 13.035381, 0, 71, 7, 12, 17
46, 4683, 13.152253, 0, 71, 7, 11, 17
47, 4583, 13.398865, 0, 79, 7, 12, 17
48, 4494, 13.730530, 0, 85, 7, 11, 18
49, 4591, 13.428883, 0, 66, 7, 12, 18
50, 4623, 13.335713, 0, 84, 7, 11, 17
51, 4742, 12.952973, 0, 65, 7, 11, 17
52, 4779, 12.884285, 0, 67, 7, 11, 17
53, 4798, 12.828053, 0, 71, 7, 11, 17
54, 4608, 13.345920, 0, 79, 7, 12, 17
55, 4397, 14.037071, 1, 68, 8, 12, 18
56, 4851, 12.689961, 0, 68, 7, 11, 17
57, 4943, 12.396116, 0, 59, 7, 11, 16
58, 4691, 13.142187, 0, 76, 7, 11, 17
59, 4393, 14.030503, 0, 80, 8, 12, 18
60, 6, 10.500000, 7, 17, 8, 9, 12
