time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 4907, 1.240880, 0, 6, 1, 1, 1
1, 4877, 1.249539, 0, 12, 1, 1, 1
2, 4985, 1.216449, 0, 5, 1, 1, 1
3, 4956, 1.220944, 0, 6, 1, 1, 1
4, 4937, 1.229694, 0, 6, 1, 1, 1
5, 5148, 1.169580, 0, 6, 1, 1, 1
6, 4943, 1.234675, 0, 6, 1, 1, 1
7, 5020, 1.206375, 0, 6, 1, 1, 1
8, 5040, 1.199802, 0, 5, 1, 1, 1
9, 5006, 1.216740, 0, 6, 1, 1, 1
10, 5032, 1.206876, 0, 6, 1, 1, 1
11, 4765, 1.275341, 0, 7, 1, 1, 2
12, 4836, 1.252275, 0, 6, 1, 1, 1
13, 4997, 1.221533, 0, 7, 1, 1, 1
14, 5021, 1.208923, 0, 6, 1, 1, 1
15, 4981, 1.225858, 0, 8, 1, 1, 1
16, 5015, 1.215553, 0, 6, 1, 1, 1
17, 5036, 1.206315, 0, 6, 1, 1, 1
18, 4989, 1.214672, 0, 8, 1, 1, 1
19, 4974, 1.218134, 0, 5, 1, 1, 1
20, 4962, 1.226119, 0, 6, 1, 1, 1
21, 4949, 1.225298, 0, 6, 1, 1, 1
22, 5005, 1.213187, 0, 6, 1, 1, 1
23, 4949, 1.226712, 0, 6, 1, 1, 1
24, 4868, 1.242399, 0, 8, 1, 1, 1
25, 4832, 1.260348, 0, 6, 1, 1, 1
26, 4874, 1.242306, 0, 6, 1, 1, 1
27, 5009, 1.212018, 0, 7, 1, 1, 1
28, 5029, 1.215550, 0, 6, 1, 1, 1
29, 4960, 1.232258, 0, 7, 1, 1, 1
30, 4998, 1.211885, 0, 7, 1, 1, 1
31, 4954, 1.228906, 0, 7, 1, 1, 1
32, 4800, 1.261875, 0, 11, 1, 1, 1
33, 4703, 1.294493, 0, 9, 1, 1, 2
34, 4986, 1.217609, 0, 7, 1, 1, 1
35, 5028, 1.203858, 0, 6, 1, 1, 1
36, 5066, 1.203119, 0, 6, 1, 1, 1
37, 5036, 1.203932, 0, 6, 1, 1, 1
38, 4926, 1.231425, 0, 6, 1, 1, 1
39, 4824, 1.260987, 0, 6, 1, 1, 2
40, 4813, 1.262622, 0, 6, 1, 1, 2
41, 4712, 1.300934, 0, 47, 1, 1, 1
42, 5066, 1.200355, 0, 6, 1, 1, 1
43, 4974, 1.221552, 0, 6, 1, 1, 1
44, 4974, 1.224970, 0, 9, 1, 1, 1
45, 4930, 1.227789, 0, 6, 1, 1, 1
46, 4914, 1.239113, 0, 7, 1, 1, 1
47, 4950, 1.226263, 0, 8, 1, 1, 1
48, 4905, 1.250357, 0, 7, 1, 1, 1
49, 5055, 1.199407, 0, 6, 1, 1, 1
50, 5031, 1.206321, 0, 7, 1, 1, 1
51, 4961, 1.228180, 0, 6, 1, 1, 1
52, 4949, 1.232572, 0, 7, 1, 1, 1
53, 4899, 1.243519, 0, 7, 1, 1, 1
54, 4809, 1.265544, 0, 20, 1, 1, 1
55, 4909, 1.243227, 0, 6, 1, 1, 1
56, 4974, 1.219341, 0, 7, 1, 1, 1
57, 5116, 1.187256, 0, 5, 1, 1, 1
58, 4993, 1.216303, 0, 6, 1, 1, 1
59, 4926, 1.242387, 0, 7, 1, 1, 1
60, 23, 1.130435, 0, 2, 1, 1, 2
