time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 3799, 0.400105, 0, 4, 0, 0, 1
1, 3838, 0.390829, 0, 4, 0, 0, 1
2, 3822, 0.388540, 0, 3, 0, 0, 1
3, 3831, 0.394414, 0, 7, 0, 0, 1
4, 3993, 0.344603, 0, 3, 0, 0, 1
5, 3960, 0.362626, 0, 4, 0, 0, 1
6, 3902, 0.368273, 0, 4, 0, 0, 1
7, 3714, 0.418148, 0, 27, 0, 0, 1
8, 3871, 0.367347, 0, 4, 0, 0, 1
9, 3904, 0.374232, 0, 4, 0, 0, 1
10, 3833, 0.386903, 0, 4, 0, 0, 1
11, 3820, 0.393979, 0, 6, 0, 0, 1
12, 3804, 0.394322, 0, 5, 0, 0, 1
13, 3867, 0.381691, 0, 6, 0, 0, 1
14, 3795, 0.394466, 0, 4, 0, 0, 1
15, 3821, 0.398063, 0, 4, 0, 0, 1
16, 3881, 0.365370, 0, 4, 0, 0, 1
17, 3903, 0.370740, 0, 4, 0, 0, 1
18, 3815, 0.387680, 0, 4, 0, 0, 1
19, 3866, 0.381273, 0, 4, 0, 0, 1
20, 3879, 0.364011, 0, 5, 0, 0, 1
21, 3889, 0.368989, 0, 4, 0, 0, 1
22, 4034, 0.341349, 0, 3, 0, 0, 1
23, 4088, 0.336106, 0, 3, 0, 0, 1
24, 3786, 0.385103, 0, 5, 0, 0, 1
25, 3747, 0.404323, 0, 4, 0, 0, 1
26, 3918, 0.364982, 0, 4, 0, 0, 1
27, 3914, 0.358968, 0, 3, 0, 0, 1
28, 3996, 0.339840, 0, 4, 0, 0, 1
29, 3956, 0.357685, 0, 4, 0, 0, 1
30, 3888, 0.375257, 0, 4, 0, 0, 1
31, 3916, 0.377171, 0, 8, 0, 0, 1
32, 4163, 0.331732, 0, 6, 0, 0, 1
33, 4111, 0.344198, 0, 7, 0, 0, 1
34, 4043, 0.342815, 0, 4, 0, 0, 1
35, 3895, 0.364570, 0, 4, 0, 0, 1
36, 4171, 0.336610, 0, 3, 0, 0, 1
37, 3856, 0.381483, 0, 4, 0, 0, 1
38, 3801, 0.389897, 0, 21, 0, 0, 1
39, 3954, 0.365706, 0, 4, 0, 0, 1
40, 3941, 0.367927, 0, 4, 0, 0, 1
41, 3957, 0.349254, 0, 4, 0, 0, 1
42, 3783, 0.396775, 0, 5, 0, 0, 1
43, 3779, 0.394020, 0, 4, 0, 0, 1
44, 3821, 0.377912, 0, 4, 0, 0, 1
45, 3942, 0.351852, 0, 4, 0, 0, 1
46, 3996, 0.349099, 0, 4, 0, 0, 1
47, 3962, 0.348561, 0, 6, 0, 0, 1
48, 3862, 0.380114, 0, 4, 0, 0, 1
49, 4028, 0.336395, 0, 4, 0, 0, 1
50, 3869, 0.358749, 0, 4, 0, 0, 1
51, 3739, 0.417224, 0, 4, 0, 0, 1
52, 3774, 0.401431, 0, 4, 0, 0, 1
53, 3957, 0.355067, 0, 5, 0, 0, 1
54, 3882, 0.373261, 0, 4, 0, 0, 1
55, 3949, 0.362370, 0, 4, 0, 0, 1
56, 4166, 0.327892, 0, 3, 0, 0, 1
57, 3921, 0.365723, 0, 9, 0, 0, 1
58, 3805, 0.378975, 0, 4, 0, 0, 1
59, 3809, 0.387241, 0, 4, 0, 0, 1
60, 9, 0.333333, 0, 1, 0, 0, 1
