time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 3909, 0.384753, 0, 7, 0, 0, 1
1, 3956, 0.365268, 0, 7, 0, 0, 1
2, 3990, 0.348872, 0, 11, 0, 0, 1
3, 3983, 0.353251, 0, 8, 0, 0, 1
4, 4041, 0.345459, 0, 8, 0, 0, 1
5, 4203, 0.303355, 0, 7, 0, 0, 1
6, 4062, 0.342196, 0, 8, 0, 0, 1
7, 4029, 0.351700, 0, 7, 0, 0, 1
8, 4199, 0.298166, 0, 12, 0, 0, 1
9, 4192, 0.302242, 0, 7, 0, 0, 1
10, 4043, 0.336879, 0, 9, 0, 0, 1
11, 4013, 0.348368, 0, 7, 0, 0, 1
12, 3989, 0.362246, 0, 7, 0, 0, 1
13, 3989, 0.367761, 0, 8, 0, 0, 1
14, 3999, 0.363091, 0, 12, 0, 0, 1
15, 4113, 0.327255, 0, 8, 0, 0, 1
16, 4050, 0.343457, 0, 7, 0, 0, 1
17, 3884, 0.383883, 0, 8, 0, 0, 1
18, 4000, 0.350750, 0, 7, 0, 0, 1
19, 4112, 0.332442, 0, 8, 0, 0, 1
20, 4128, 0.332849, 0, 8, 0, 0, 1
21, 4103, 0.326590, 0, 7, 0, 0, 1
22, 3867, 0.397724, 0, 11, 0, 0, 1
23, 3961, 0.357233, 0, 10, 0, 0, 1
24, 3676, 0.458379, 0, 10, 0, 0, 1
25, 3892, 0.378212, 0, 9, 0, 0, 1
26, 3947, 0.369648, 0, 8, 0, 0, 1
27, 3860, 0.397409, 0, 8, 0, 0, 1
28, 3640, 0.469231, 0, 40, 0, 0, 1
29, 4157, 0.316093, 0, 7, 0, 0, 1
30, 4050, 0.330370, 0, 9, 0, 0, 1
31, 4073, 0.326050, 0, 10, 0, 0, 1
32, 4129, 0.323081, 0, 9, 0, 0, 1
33, 3984, 0.379769, 0, 8, 0, 0, 1
34, 4270, 0.293911, 0, 9, 0, 0, 1
35, 3903, 0.382270, 0, 10, 0, 0, 1
36, 4135, 0.311487, 0, 8, 0, 0, 1
37, 4057, 0.326596, 0, 9, 0, 0, 1
38, 4179, 0.310840, 0, 9, 0, 0, 1
39, 4187, 0.306902, 0, 8, 0, 0, 1
40, 4005, 0.351810, 0, 7, 0, 0, 1
41, 3978, 0.363248, 0, 9, 0, 0, 1
42, 3878, 0.395565, 0, 9, 0, 0, 1
43, 3962, 0.364462, 0, 11, 0, 0, 1
44, 3964, 0.363269, 0, 8, 0, 0, 1
45, 4102, 0.333252, 0, 10, 0, 0, 1
46, 4204, 0.306375, 0, 12, 0, 0, 1
47, 4170, 0.310552, 0, 9, 0, 0, 1
48, 4150, 0.307229, 0, 10, 0, 0, 1
49, 4094, 0.327064, 0, 11, 0, 0, 1
50, 3911, 0.389926, 0, 10, 0, 0, 1
51, 3806, 0.421703, 0, 9, 0, 0, 1
52, 3940, 0.380711, 0, 11, 0, 0, 1
53, 4169, 0.311586, 0, 8, 0, 0, 1
54, 4074, 0.341188, 0, 10, 0, 0, 1
55, 4188, 0.292741, 0, 9, 0, 0, 1
56, 3779, 0.425509, 0, 12, 0, 0, 1
57, 3342, 0.611610, 0, 12, 0, 1, 1
58, 3622, 0.475704, 0, 29, 0, 0, 1
59, 4071, 0.331614, 0, 10, 0, 0, 1
60, 11, 0.363636, 0, 1, 0, 0, 1
