time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 3921, 0.427187, 0, 7, 0, 0, 1
1, 3760, 0.501064, 0, 8, 0, 0, 1
2, 3910, 0.437340, 0, 8, 0, 0, 1
3, 3941, 0.418929, 0, 9, 0, 0, 1
4, 3894, 0.438367, 0, 7, 0, 0, 1
5, 3761, 0.483382, 0, 16, 0, 0, 1
6, 3962, 0.426047, 0, 7, 0, 0, 1
7, 3981, 0.423512, 0, 9, 0, 0, 1
8, 3972, 0.411380, 0, 8, 0, 0, 1
9, 3894, 0.442219, 0, 7, 0, 0, 1
10, 3937, 0.431801, 0, 11, 0, 0, 1
11, 3906, 0.435228, 0, 8, 0, 0, 1
12, 3918, 0.432619, 0, 7, 0, 0, 1
13, 3873, 0.453137, 0, 10, 0, 0, 1
14, 3941, 0.425019, 0, 9, 0, 0, 1
15, 3938, 0.436262, 0, 8, 0, 0, 1
16, 3854, 0.450701, 0, 8, 0, 0, 1
17, 3843, 0.453031, 0, 8, 0, 0, 1
18, 3773, 0.485025, 0, 8, 0, 0, 1
19, 3848, 0.452963, 0, 7, 0, 0, 1
20, 3942, 0.429731, 0, 8, 0, 0, 1
21, 3927, 0.434428, 0, 8, 0, 0, 1
22, 3896, 0.448152, 0, 11, 0, 0, 1
23, 3949, 0.426944, 0, 8, 0, 0, 1
24, 3897, 0.439056, 0, 8, 0, 0, 1
25, 3727, 0.501207, 0, 9, 0, 0, 1
26, 3892, 0.446300, 0, 8, 0, 0, 1
27, 3910, 0.443734, 0, 8, 0, 0, 1
28, 3806, 0.461114, 0, 9, 0, 0, 1
29, 3829, 0.442674, 0, 9, 0, 0, 1
30, 3890, 0.442674, 0, 8, 0, 0, 1
31, 3906, 0.435996, 0, 9, 0, 0, 1
32, 3929, 0.422245, 0, 8, 0, 0, 1
33, 3995, 0.415019, 0, 7, 0, 0, 1
34, 3932, 0.428789, 0, 10, 0, 0, 1
35, 3766, 0.476367, 0, 19, 0, 0, 1
36, 3835, 0.459974, 0, 9, 0, 0, 1
37, 3669, 0.514854, 0, 10, 0, 0, 1
38, 3880, 0.450773, 0, 8, 0, 0, 1
39, 3860, 0.445596, 0, 9, 0, 0, 1
40, 3899, 0.447807, 0, 9, 0, 0, 1
41, 3961, 0.423883, 0, 9, 0, 0, 1
42, 3909, 0.440010, 0, 9, 0, 0, 1
43, 3861, 0.447034, 0, 10, 0, 0, 1
44, 3768, 0.476645, 0, 9, 0, 0, 1
45, 3678, 0.513051, 0, 8, 0, 0, 1
46, 3763, 0.495349, 0, 9, 0, 0, 1
47, 3892, 0.455293, 0, 10, 0, 0, 1
48, 3765, 0.485790, 0, 9, 0, 0, 1
49, 3830, 0.456658, 0, 9, 0, 0, 1
50, 3800, 0.468421, 0, 11, 0, 0, 1
51, 3880, 0.433763, 0, 9, 0, 0, 1
52, 3846, 0.460998, 0, 8, 0, 0, 1
53, 3993, 0.407713, 0, 9, 0, 0, 1
54, 3866, 0.448526, 0, 9, 0, 0, 1
55, 3963, 0.420893, 0, 9, 0, 0, 1
56, 3956, 0.417341, 0, 11, 0, 0, 1
57, 3753, 0.489742, 0, 9, 0, 0, 1
58, 3739, 0.484622, 0, 23, 0, 0, 1
59, 3869, 0.454898, 0, 9, 0, 0, 1
60, 17, 0.235294, 0, 1, 0, 0, 0
