time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 2703, 3.179800, 1, 15, 2, 3, 4
1, 2726, 3.148936, 1, 15, 2, 3, 4
2, 2791, 3.074884, 1, 15, 2, 3, 4
3, 2837, 2.997180, 1, 12, 2, 3, 3
4, 2853, 2.985980, 1, 12, 2, 3, 3
5, 2927, 2.891356, 1, 11, 2, 3, 3
6, 2832, 3.016596, 1, 13, 2, 3, 3
7, 2756, 3.103048, 1, 13, 2, 3, 4
8, 2741, 3.134987, 1, 14, 2, 3, 4
9, 2843, 2.997538, 1, 14, 2, 3, 3
10, 2829, 3.022623, 1, 15, 2, 3, 3
11, 2757, 3.115705, 1, 12, 2, 3, 4
12, 2845, 2.996485, 1, 13, 2, 3, 3
13, 2780, 3.078417, 1, 16, 2, 3, 4
14, 2770, 3.094946, 1, 15, 2, 3, 4
15, 2767, 3.092158, 1, 14, 2, 3, 4
16, 2755, 3.115426, 1, 16, 2, 3, 4
17, 2799, 3.052161, 1, 12, 2, 3, 4
18, 2827, 3.009197, 1, 13, 2, 3, 3
19, 2807, 3.046313, 1, 15, 2, 3, 3
20, 2785, 3.068223, 1, 16, 2, 3, 3
21, 2788, 3.066356, 1, 13, 2, 3, 4
22, 2594, 3.335775, 1, 38, 2, 3, 4
23, 2798, 3.053967, 1, 14, 2, 3, 3
24, 2813, 3.031639, 1, 18, 2, 3, 3
25, 2783, 3.066834, 1, 13, 2, 3, 4
26, 2856, 2.987045, 1, 14, 2, 3, 3
27, 2803, 3.039244, 1, 13, 2, 3, 3
28, 2763, 3.103511, 1, 14, 2, 3, 4
29, 2756, 3.109942, 1, 14, 2, 3, 4
30, 2784, 3.078305, 1, 15, 2, 3, 4
31, 2851, 2.988776, 1, 12, 2, 3, 3
32, 2809, 3.035600, 1, 15, 2, 3, 4
33, 2796, 3.070100, 1, 14, 2, 3, 4
34, 2755, 3.109619, 1, 13, 2, 3, 4
35, 2747, 3.115399, 1, 18, 2, 3, 4
36, 2714, 3.162122, 1, 13, 2, 3, 4
37, 2622, 3.295195, 1, 20, 2, 3, 4
38, 2609, 3.325412, 1, 16, 2, 3, 4
39, 2770, 3.078339, 1, 19, 2, 3, 4
40, 2826, 3.016985, 1, 14, 2, 3, 3
41, 2746, 3.112891, 1, 13, 2, 3, 4
42, 2688, 3.197545, 1, 16, 2, 3, 4
43, 2719, 3.142700, 1, 13, 2, 3, 4
44, 2703, 3.190159, 1, 19, 2, 3, 4
45, 2811, 3.036998, 1, 16, 2, 3, 4
46, 2833, 3.013060, 1, 12, 2, 3, 3
47, 2816, 3.029474, 1, 18, 2, 3, 4
48, 2761, 3.118435, 1, 13, 2, 3, 4
49, 2760, 3.108333, 1, 14, 2, 3, 4
50, 2754, 3.111474, 1, 16, 2, 3, 4
51, 2737, 3.126050, 1, 17, 2, 3, 4
52, 2687, 3.209900, 1, 23, 2, 3, 4
53, 2815, 3.025933, 1, 15, 2, 3, 3
54, 2812, 3.034139, 1, 15, 2, 3, 3
55, 2770, 3.082310, 1, 14, 2, 3, 3
56, 2828, 3.007426, 1, 14, 2, 3, 3
57, 2758, 3.104061, 1, 13, 2, 3, 4
58, 2696, 3.188427, 1, 14, 2, 3, 4
59, 2750, 3.118545, 1, 14, 2, 3, 4
60, 13, 2.769231, 1, 7, 1, 2, 4
