time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 3778, 0.394653, 0, 8, 0, 0, 1
1, 3607, 0.467424, 0, 8, 0, 0, 1
2, 3707, 0.418128, 0, 6, 0, 0, 1
3, 3663, 0.435708, 0, 8, 0, 0, 1
4, 3690, 0.426829, 0, 7, 0, 0, 1
5, 3692, 0.431744, 0, 8, 0, 0, 1
6, 3728, 0.410944, 0, 11, 0, 0, 1
7, 3688, 0.421909, 0, 9, 0, 0, 1
8, 3622, 0.442297, 0, 8, 0, 0, 1
9, 3765, 0.393094, 0, 8, 0, 0, 1
10, 3685, 0.426866, 0, 8, 0, 0, 1
11, 3661, 0.435946, 0, 7, 0, 0, 1
12, 3523, 0.501845, 0, 10, 0, 0, 1
13, 3671, 0.430128, 0, 7, 0, 0, 1
14, 3538, 0.496608, 0, 8, 0, 0, 1
15, 3595, 0.456745, 0, 7, 0, 0, 1
16, 3664, 0.434225, 0, 7, 0, 0, 1
17, 3679, 0.435716, 0, 8, 0, 0, 1
18, 3680, 0.428804, 0, 6, 0, 0, 1
19, 3675, 0.426939, 0, 9, 0, 0, 1
20, 3706, 0.413923, 0, 7, 0, 0, 1
21, 3689, 0.425319, 0, 7, 0, 0, 1
22, 3554, 0.482555, 0, 8, 0, 0, 1
23, 3493, 0.506728, 0, 8, 0, 0, 1
24, 3601, 0.472091, 0, 8, 0, 0, 1
25, 3760, 0.406117, 0, 7, 0, 0, 1
26, 3579, 0.480302, 0, 9, 0, 0, 1
27, 3605, 0.477947, 0, 7, 0, 0, 1
28, 3502, 0.514849, 0, 10, 0, 0, 1
29, 3579, 0.468567, 0, 12, 0, 0, 1
30, 3537, 0.493639, 0, 9, 0, 0, 1
31, 3637, 0.448172, 0, 9, 0, 0, 1
32, 3701, 0.420967, 0, 9, 0, 0, 1
33, 3643, 0.434532, 0, 9, 0, 0, 1
34, 3582, 0.462870, 0, 8, 0, 0, 1
35, 3526, 0.491492, 0, 9, 0, 0, 1
36, 3494, 0.502003, 0, 11, 0, 0, 1
37, 3633, 0.454996, 0, 9, 0, 0, 1
38, 3664, 0.436135, 0, 9, 0, 0, 1
39, 3739, 0.410538, 0, 8, 0, 0, 1
40, 3643, 0.445786, 0, 10, 0, 0, 1
41, 3636, 0.447745, 0, 9, 0, 0, 1
42, 3410, 0.536364, 0, 30, 0, 0, 1
43, 3507, 0.497006, 0, 9, 0, 0, 1
44, 3593, 0.459505, 0, 9, 0, 0, 1
45, 3595, 0.465647, 0, 9, 0, 0, 1
46, 3610, 0.462327, 0, 8, 0, 0, 1
47, 3514, 0.492032, 0, 10, 0, 0, 1
48, 3567, 0.484441, 0, 9, 0, 0, 1
49, 3577, 0.475818, 0, 8, 0, 0, 1
50, 3550, 0.469859, 0, 10, 0, 0, 1
51, 3686, 0.422952, 0, 9, 0, 0, 1
52, 3722, 0.408920, 0, 8, 0, 0, 1
53, 3607, 0.467147, 0, 9, 0, 0, 1
54, 3529, 0.480306, 0, 9, 0, 0, 1
55, 3619, 0.458138, 0, 7, 0, 0, 1
56, 3469, 0.511963, 0, 10, 0, 0, 1
57, 3569, 0.480527, 0, 9, 0, 0, 1
58, 3746, 0.400961, 0, 8, 0, 0, 1
59, 3732, 0.413987, 0, 8, 0, 0, 1
60, 15, 0.466667, 0, 1, 0, 0, 1
