time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 3493, 0.512167, 0, 7, 0, 0, 1
1, 3535, 0.504668, 0, 6, 0, 0, 1
2, 3636, 0.442519, 0, 7, 0, 0, 1
3, 3669, 0.442900, 0, 7, 0, 0, 1
4, 3676, 0.431719, 0, 10, 0, 0, 1
5, 3724, 0.405209, 0, 7, 0, 0, 1
6, 3634, 0.439736, 0, 8, 0, 0, 1
7, 3678, 0.433931, 0, 7, 0, 0, 1
8, 3506, 0.501426, 0, 7, 0, 0, 1
9, 3435, 0.523726, 0, 27, 0, 0, 1
10, 3641, 0.434221, 0, 7, 0, 0, 1
11, 3642, 0.438495, 0, 7, 0, 0, 1
12, 3595, 0.456467, 0, 9, 0, 0, 1
13, 3750, 0.400800, 0, 9, 0, 0, 1
14, 3723, 0.409347, 0, 7, 0, 0, 1
15, 3660, 0.449180, 0, 9, 0, 0, 1
16, 3411, 0.528877, 0, 12, 0, 0, 1
17, 3342, 0.582286, 0, 10, 0, 0, 1
18, 3696, 0.414773, 0, 8, 0, 0, 1
19, 3505, 0.513837, 0, 7, 0, 0, 1
20, 3578, 0.464785, 0, 7, 0, 0, 1
21, 3552, 0.484797, 0, 7, 0, 0, 1
22, 3634, 0.443588, 0, 8, 0, 0, 1
23, 3586, 0.464863, 0, 8, 0, 0, 1
24, 3551, 0.471980, 0, 8, 0, 0, 1
25, 3526, 0.477311, 0, 9, 0, 0, 1
26, 3649, 0.430255, 0, 8, 0, 0, 1
27, 3677, 0.421267, 0, 10, 0, 0, 1
28, 3549, 0.481544, 0, 9, 0, 0, 1
29, 3605, 0.451318, 0, 7, 0, 0, 1
30, 3644, 0.432766, 0, 8, 0, 0, 1
31, 3414, 0.545694, 0, 7, 0, 0, 1
32, 3574, 0.477896, 0, 6, 0, 0, 1
33, 3653, 0.422666, 0, 9, 0, 0, 1
34, 3586, 0.466537, 0, 9, 0, 0, 1
35, 3580, 0.462570, 0, 12, 0, 0, 1
36, 3661, 0.439771, 0, 8, 0, 0, 1
37, 3638, 0.445025, 0, 8, 0, 0, 1
38, 3409, 0.553241, 0, 9, 0, 0, 1
39, 3264, 0.611520, 0, 21, 0, 0, 1
40, 3562, 0.481190, 0, 8, 0, 0, 1
41, 3599, 0.460684, 0, 9, 0, 0, 1
42, 3393, 0.562629, 0, 8, 0, 0, 1
43, 3546, 0.490130, 0, 8, 0, 0, 1
44, 3367, 0.574993, 0, 9, 0, 0, 1
45, 3404, 0.549354, 0, 8, 0, 0, 1
46, 3509, 0.505842, 0, 8, 0, 0, 1
47, 3724, 0.402256, 0, 9, 0, 0, 1
48, 3631, 0.439548, 0, 9, 0, 0, 1
49, 3590, 0.472702, 0, 7, 0, 0, 1
50, 3535, 0.500707, 0, 8, 0, 0, 1
51, 3410, 0.540176, 0, 8, 0, 0, 1
52, 3565, 0.466199, 0, 10, 0, 0, 1
53, 3618, 0.452184, 0, 8, 0, 0, 1
54, 3619, 0.447914, 0, 11, 0, 0, 1
55, 3679, 0.417777, 0, 7, 0, 0, 1
56, 3575, 0.457622, 0, 10, 0, 0, 1
57, 3709, 0.413589, 0, 9, 0, 0, 1
58, 3562, 0.481752, 0, 8, 0, 0, 1
59, 3513, 0.493880, 0, 10, 0, 0, 1
60, 22, 0.318182, 0, 2, 0, 0, 1
