time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 3513, 0.558782, 0, 6, 0, 1, 1
1, 3524, 0.562429, 0, 6, 0, 1, 1
2, 3535, 0.548232, 0, 7, 0, 1, 1
3, 3596, 0.528365, 0, 6, 0, 1, 1
4, 3610, 0.524931, 0, 6, 0, 1, 1
5, 3737, 0.488627, 0, 6, 0, 0, 1
6, 3671, 0.507219, 0, 6, 0, 0, 1
7, 3574, 0.544208, 0, 6, 0, 1, 1
8, 3585, 0.528312, 0, 7, 0, 1, 1
9, 3536, 0.544118, 0, 8, 0, 1, 1
10, 3575, 0.531469, 0, 7, 0, 1, 1
11, 3551, 0.537313, 0, 7, 0, 1, 1
12, 3617, 0.518938, 0, 7, 0, 1, 1
13, 3625, 0.521103, 0, 7, 0, 1, 1
14, 3614, 0.517432, 0, 7, 0, 0, 1
15, 3655, 0.505335, 0, 7, 0, 0, 1
16, 3635, 0.508666, 0, 8, 0, 0, 1
17, 3571, 0.530104, 0, 8, 0, 1, 1
18, 3557, 0.541468, 0, 7, 0, 1, 1
19, 3544, 0.550790, 0, 8, 0, 1, 1
20, 3350, 0.609552, 0, 22, 0, 1, 1
21, 3585, 0.525523, 0, 10, 0, 0, 1
22, 3647, 0.503153, 0, 8, 0, 0, 1
23, 3634, 0.512933, 0, 6, 0, 0, 1
24, 3648, 0.511787, 0, 8, 0, 0, 1
25, 3640, 0.508516, 0, 7, 0, 0, 1
26, 3535, 0.546818, 0, 8, 0, 1, 1
27, 3503, 0.556666, 0, 7, 0, 1, 1
28, 3416, 0.600995, 0, 8, 0, 1, 1
29, 3507, 0.567722, 0, 7, 0, 1, 1
30, 3587, 0.531084, 0, 6, 0, 1, 1
31, 3432, 0.598485, 0, 7, 0, 1, 1
32, 3505, 0.561484, 0, 8, 0, 1, 1
33, 3476, 0.575374, 0, 7, 0, 1, 1
34, 3461, 0.582780, 0, 6, 0, 1, 1
35, 3570, 0.530532, 0, 6, 0, 1, 1
36, 3575, 0.539301, 0, 6, 0, 1, 1
37, 3620, 0.519890, 0, 7, 0, 1, 1
38, 3585, 0.538633, 0, 6, 0, 1, 1
39, 3531, 0.548570, 0, 7, 0, 1, 1
40, 3540, 0.539548, 0, 6, 0, 1, 1
41, 3533, 0.546561, 0, 9, 0, 1, 1
42, 3422, 0.597312, 0, 9, 0, 1, 1
43, 3536, 0.548643, 0, 7, 0, 1, 1
44, 3588, 0.530379, 0, 7, 0, 1, 1
45, 3502, 0.563963, 0, 8, 0, 1, 1
46, 3442, 0.582220, 0, 8, 0, 1, 1
47, 3533, 0.544014, 0, 7, 0, 1, 1
48, 3572, 0.534714, 0, 7, 0, 1, 1
49, 3628, 0.518192, 0, 7, 0, 0, 1
50, 3457, 0.581429, 0, 16, 0, 1, 1
51, 3618, 0.516584, 0, 8, 0, 0, 1
52, 3553, 0.526597, 0, 7, 0, 1, 1
53, 3546, 0.536097, 0, 8, 0, 1, 1
54, 3568, 0.531110, 0, 7, 0, 1, 1
55, 3484, 0.571470, 0, 10, 0, 1, 1
56, 3606, 0.529395, 0, 7, 0, 1, 1
57, 3530, 0.560623, 0, 10, 0, 1, 1
58, 3579, 0.524169, 0, 10, 0, 0, 1
59, 3525, 0.542979, 0, 10, 0, 1, 1
60, 15, 0.666667, 0, 1, 0, 1, 1
