time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 304, 6.088816, 1, 16, 3, 6, 8
1, 299, 6.170569, 1, 18, 3, 6, 8
2, 300, 6.203333, 1, 16, 4, 6, 8
3, 304, 6.039474, 1, 14, 4, 6, 8
4, 308, 5.957792, 1, 17, 2, 6, 9
5, 292, 6.321918, 1, 18, 4, 6, 8
6, 299, 6.193980, 1, 19, 4, 6, 8
7, 310, 5.951613, 1, 19, 2, 6, 9
8, 319, 5.799373, 1, 17, 2, 5, 8
9, 300, 6.123333, 1, 17, 2, 6, 8
10, 306, 6.039216, 1, 16, 3, 6, 8
11, 277, 6.693141, 1, 45, 3, 6, 9
12, 300, 6.160000, 1, 16, 3, 6, 8
13, 292, 6.325342, 1, 18, 4, 6, 9
14, 328, 5.570122, 1, 18, 2, 6, 7
15, 289, 6.435986, 1, 19, 2, 7, 9
16, 294, 6.326531, 1, 18, 3, 6, 9
17, 304, 6.075658, 1, 20, 2, 6, 8
18, 280, 6.675000, 1, 15, 4, 6, 9
19, 316, 5.775316, 1, 19, 2, 6, 8
20, 310, 5.990323, 1, 16, 4, 6, 8
21, 310, 5.900000, 1, 17, 2, 6, 8
22, 303, 6.132013, 1, 15, 4, 6, 8
23, 301, 6.106312, 1, 15, 3, 6, 8
24, 296, 6.256757, 1, 19, 4, 6, 8
25, 326, 5.576687, 1, 18, 2, 6, 8
26, 318, 5.817610, 1, 15, 2, 6, 8
27, 306, 6.029412, 1, 15, 3, 6, 8
28, 337, 5.418398, 1, 15, 2, 5, 8
29, 317, 5.772871, 1, 14, 2, 5, 8
30, 311, 5.929260, 1, 16, 4, 6, 8
31, 306, 6.006536, 1, 16, 3, 6, 8
32, 321, 5.704050, 1, 15, 3, 6, 8
33, 280, 6.596429, 1, 15, 4, 7, 9
34, 318, 5.836478, 1, 18, 2, 6, 8
35, 310, 5.945161, 1, 16, 2, 6, 8
36, 301, 6.109635, 1, 15, 4, 6, 8
37, 301, 6.146179, 1, 17, 3, 6, 8
38, 300, 6.150000, 1, 15, 4, 6, 8
39, 315, 5.853968, 1, 20, 2, 6, 8
40, 285, 6.480702, 1, 37, 3, 6, 9
41, 305, 6.016393, 1, 17, 4, 6, 8
42, 293, 6.368601, 1, 19, 4, 6, 9
43, 312, 5.862179, 1, 17, 2, 6, 8
44, 297, 6.255892, 1, 19, 2, 6, 9
45, 305, 6.072131, 1, 15, 3, 6, 8
46, 289, 6.380623, 1, 17, 4, 6, 9
47, 334, 5.500000, 1, 15, 2, 5, 8
48, 314, 5.805732, 1, 16, 2, 6, 8
49, 296, 6.256757, 1, 19, 4, 6, 9
50, 306, 5.996732, 1, 14, 3, 6, 8
51, 296, 6.283784, 1, 16, 4, 6, 9
52, 303, 6.092409, 1, 18, 3, 6, 8
53, 295, 6.264407, 1, 17, 4, 6, 9
54, 320, 5.709375, 1, 18, 2, 6, 8
55, 303, 6.132013, 1, 16, 4, 6, 8
56, 312, 5.897436, 1, 18, 2, 6, 8
57, 319, 5.771160, 1, 18, 2, 6, 8
58, 304, 6.052632, 1, 16, 3, 6, 8
59, 310, 5.896774, 1, 16, 3, 6, 8
