time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 260, 7.192308, 1, 20, 2, 6, 11
1, 222, 8.418919, 1, 28, 3, 8, 13
2, 266, 7.086466, 1, 36, 2, 5, 11
3, 256, 7.253906, 1, 27, 3, 6, 11
4, 249, 7.502008, 1, 20, 2, 7, 12
5, 269, 6.910781, 1, 33, 2, 4, 11
6, 260, 7.088462, 1, 29, 2, 7, 11
7, 279, 6.688172, 1, 28, 2, 4, 11
8, 254, 7.318898, 1, 20, 3, 7, 11
9, 250, 7.496000, 1, 31, 2, 7, 12
10, 252, 7.436508, 1, 35, 3, 6, 12
11, 262, 7.118321, 1, 20, 3, 6, 11
12, 230, 8.217391, 2, 48, 3, 7, 12
13, 253, 7.375494, 1, 33, 3, 6, 11
14, 242, 7.681818, 1, 20, 2, 8, 12
15, 244, 7.668033, 1, 30, 3, 7, 12
16, 247, 7.623482, 1, 34, 3, 7, 12
17, 271, 6.833948, 1, 20, 2, 5, 11
18, 245, 7.665306, 1, 37, 3, 7, 11
19, 249, 7.542169, 1, 33, 3, 7, 12
20, 285, 6.505263, 1, 21, 2, 4, 10
21, 260, 7.150000, 1, 32, 2, 5, 11
22, 268, 6.917910, 1, 28, 2, 5, 11
23, 260, 7.146154, 1, 32, 3, 6, 11
24, 244, 7.680328, 1, 23, 3, 6, 12
25, 249, 7.518072, 1, 41, 3, 7, 11
26, 250, 7.496000, 1, 25, 3, 7, 12
27, 259, 7.166023, 1, 20, 2, 6, 11
28, 264, 7.098485, 1, 31, 2, 5, 11
29, 250, 7.440000, 1, 32, 3, 7, 12
30, 264, 7.147727, 1, 20, 2, 6, 11
31, 237, 7.940928, 1, 26, 3, 8, 12
32, 251, 7.454183, 1, 33, 2, 6, 11
33, 279, 6.698925, 1, 21, 2, 5, 11
34, 268, 6.880597, 1, 37, 2, 5, 11
35, 262, 7.125954, 1, 31, 2, 5, 11
36, 266, 7.007519, 1, 19, 2, 6, 12
37, 263, 7.034221, 1, 31, 2, 6, 11
38, 231, 8.129870, 1, 34, 3, 8, 12
39, 286, 6.520979, 1, 20, 2, 3, 11
40, 260, 7.207692, 1, 32, 2, 6, 12
41, 249, 7.481928, 1, 28, 3, 6, 12
42, 262, 7.072519, 1, 21, 3, 5, 11
43, 253, 7.399209, 1, 31, 2, 6, 11
44, 222, 8.400901, 1, 29, 3, 9, 12
45, 260, 7.207692, 1, 19, 2, 6, 11
46, 252, 7.480159, 1, 31, 2, 6, 12
47, 243, 7.662551, 1, 30, 3, 8, 12
48, 253, 7.462451, 1, 19, 3, 7, 12
49, 270, 6.870370, 1, 30, 2, 4, 11
50, 261, 7.103448, 1, 26, 2, 6, 11
51, 274, 6.777372, 1, 22, 2, 5, 11
52, 239, 7.941423, 1, 33, 3, 7, 12
53, 255, 7.298039, 1, 34, 3, 7, 11
54, 260, 7.176923, 1, 21, 3, 6, 12
55, 255, 7.364706, 1, 28, 3, 6, 12
56, 282, 6.641844, 1, 21, 2, 3, 11
57, 266, 7.011278, 1, 20, 3, 7, 11
58, 248, 7.528226, 1, 33, 3, 6, 11
59, 276, 6.721014, 1, 36, 2, 5, 11
60, 1, 3.000000, 3, 3, 3, 3, 3
