time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 407, 4.447174, 1, 18, 1, 4, 6
1, 398, 4.562814, 1, 14, 2, 4, 6
2, 388, 4.654639, 1, 18, 2, 4, 6
3, 450, 3.995556, 1, 13, 1, 4, 6
4, 428, 4.205607, 0, 13, 1, 4, 6
5, 389, 4.632391, 0, 17, 3, 4, 6
6, 403, 4.488834, 0, 16, 1, 4, 6
7, 378, 4.833333, 0, 37, 2, 5, 7
8, 391, 4.641944, 0, 18, 3, 4, 6
9, 425, 4.240000, 0, 15, 1, 4, 6
10, 433, 4.143187, 0, 17, 1, 4, 6
11, 409, 4.415648, 0, 14, 1, 4, 6
12, 405, 4.449383, 0, 18, 1, 4, 6
13, 390, 4.661538, 0, 20, 3, 4, 7
14, 390, 4.558974, 1, 54, 1, 4, 7
15, 379, 4.918206, 0, 62, 2, 5, 7
16, 415, 4.339759, 0, 20, 2, 4, 6
17, 462, 3.844156, 1, 12, 1, 3, 6
18, 410, 4.424390, 0, 23, 2, 4, 6
19, 405, 4.456790, 1, 18, 2, 4, 6
20, 403, 4.486352, 1, 18, 2, 4, 6
21, 402, 4.504975, 1, 18, 2, 4, 6
22, 405, 4.439506, 0, 17, 2, 4, 6
23, 399, 4.556391, 0, 19, 3, 4, 6
24, 386, 4.689119, 0, 15, 2, 5, 7
25, 416, 4.353365, 0, 21, 2, 4, 6
26, 410, 4.380488, 1, 14, 2, 4, 6
27, 394, 4.576142, 0, 14, 3, 4, 6
28, 417, 4.328537, 1, 13, 3, 4, 6
29, 376, 4.816489, 0, 18, 3, 4, 7
30, 420, 4.304762, 1, 25, 2, 4, 6
31, 406, 4.445813, 0, 15, 2, 4, 6
32, 387, 4.692506, 1, 18, 3, 4, 6
33, 430, 4.197674, 1, 20, 1, 4, 6
34, 404, 4.482673, 1, 12, 1, 5, 6
35, 420, 4.302381, 0, 18, 1, 4, 6
36, 393, 4.605598, 0, 14, 3, 4, 6
37, 401, 4.516209, 1, 14, 2, 4, 6
38, 385, 4.722078, 0, 18, 1, 5, 7
39, 416, 4.338942, 1, 14, 1, 4, 6
40, 395, 4.564557, 0, 18, 3, 4, 6
41, 411, 4.403893, 0, 20, 1, 4, 6
42, 421, 4.258907, 1, 15, 2, 4, 6
43, 384, 4.721354, 0, 17, 3, 4, 7
44, 406, 4.421182, 1, 17, 2, 4, 6
45, 407, 4.454545, 0, 23, 3, 4, 6
46, 426, 4.201878, 1, 18, 1, 4, 6
47, 380, 4.757895, 1, 23, 3, 4, 7
48, 406, 4.411330, 0, 45, 1, 4, 6
49, 419, 4.300716, 1, 17, 1, 4, 6
50, 385, 4.716883, 1, 14, 2, 5, 7
51, 427, 4.229508, 1, 15, 1, 4, 6
52, 422, 4.248815, 0, 20, 1, 4, 6
53, 409, 4.415648, 0, 14, 1, 4, 6
54, 421, 4.299287, 1, 13, 2, 4, 6
55, 405, 4.471605, 1, 16, 2, 4, 6
56, 409, 4.408313, 0, 18, 2, 4, 6
57, 415, 4.349398, 1, 15, 2, 4, 6
58, 422, 4.284360, 1, 15, 2, 4, 6
59, 416, 4.324519, 1, 16, 1, 4, 6
