time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 378, 4.764550, 1, 13, 2, 5, 7
1, 380, 4.742105, 1, 19, 1, 5, 6
2, 380, 4.739474, 1, 15, 1, 5, 7
3, 368, 4.921196, 1, 14, 2, 5, 7
4, 400, 4.460000, 1, 15, 1, 4, 6
5, 392, 4.617347, 1, 20, 1, 4, 7
6, 379, 4.802111, 1, 15, 1, 5, 7
7, 364, 4.994505, 1, 14, 3, 5, 7
8, 396, 4.492424, 1, 14, 1, 4, 6
9, 350, 5.242857, 1, 15, 3, 5, 7
10, 391, 4.621483, 1, 14, 2, 5, 6
11, 363, 5.013774, 1, 15, 3, 5, 7
12, 348, 5.261494, 1, 16, 3, 5, 7
13, 382, 4.751309, 1, 14, 1, 5, 7
14, 384, 4.697917, 1, 13, 1, 4, 7
15, 363, 5.000000, 1, 14, 3, 5, 7
16, 345, 5.286957, 0, 19, 3, 5, 7
17, 398, 4.520101, 1, 13, 1, 4, 7
18, 395, 4.567089, 1, 20, 2, 4, 6
19, 366, 4.942623, 1, 17, 3, 5, 7
20, 358, 5.086592, 1, 48, 2, 5, 7
21, 362, 5.000000, 1, 21, 1, 5, 7
22, 381, 4.763780, 1, 14, 1, 5, 7
23, 383, 4.712794, 1, 17, 3, 4, 7
24, 364, 4.972527, 1, 21, 3, 5, 7
25, 365, 4.980822, 1, 14, 3, 5, 7
26, 348, 5.250000, 1, 18, 3, 5, 7
27, 366, 4.997268, 1, 20, 2, 5, 7
28, 354, 5.161017, 1, 15, 3, 5, 7
29, 382, 4.730366, 1, 24, 1, 5, 7
30, 359, 5.086351, 1, 15, 3, 5, 7
31, 404, 4.403465, 1, 17, 1, 4, 6
32, 325, 5.683077, 1, 106, 1, 4, 7
33, 372, 4.844086, 1, 13, 3, 5, 7
34, 357, 5.106443, 1, 17, 3, 5, 7
35, 373, 4.857909, 1, 15, 1, 4, 7
36, 288, 6.229167, 1, 59, 3, 5, 8
37, 378, 4.970899, 1, 84, 1, 4, 6
38, 389, 4.637532, 1, 16, 1, 4, 7
39, 363, 4.988981, 1, 21, 1, 5, 7
40, 394, 4.535533, 1, 13, 1, 4, 6
41, 348, 5.261494, 1, 77, 1, 5, 7
42, 332, 5.530120, 1, 62, 1, 5, 7
43, 296, 6.250000, 1, 93, 3, 5, 7
44, 331, 5.537764, 1, 75, 3, 5, 7
45, 346, 5.260116, 1, 59, 2, 5, 7
46, 300, 6.210000, 1, 67, 3, 5, 7
47, 336, 5.419643, 1, 63, 3, 5, 7
48, 345, 5.371014, 1, 60, 1, 5, 7
49, 381, 4.711286, 1, 16, 1, 4, 7
50, 350, 5.200000, 1, 26, 1, 5, 7
51, 314, 5.872611, 1, 86, 3, 5, 7
52, 364, 4.961538, 1, 18, 3, 5, 7
53, 348, 5.267241, 1, 36, 3, 5, 7
54, 308, 5.967532, 1, 60, 3, 5, 7
55, 338, 5.393491, 1, 66, 1, 4, 7
56, 370, 4.894595, 1, 65, 2, 4, 6
57, 352, 5.159091, 1, 84, 1, 4, 7
58, 310, 5.961290, 1, 73, 2, 5, 7
59, 346, 5.306358, 1, 60, 2, 5, 7
60, 1, 8.000000, 8, 8, 8, 8, 8
