time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 375, 4.869333, 1, 16, 3, 5, 7
1, 398, 4.512563, 1, 14, 1, 4, 7
2, 400, 4.507500, 1, 14, 2, 4, 6
3, 378, 4.798942, 1, 16, 3, 5, 7
4, 406, 4.418719, 1, 13, 1, 4, 7
5, 375, 4.818667, 1, 17, 2, 5, 7
6, 362, 4.969613, 1, 14, 3, 5, 7
7, 379, 4.831135, 1, 14, 3, 5, 7
8, 350, 5.188571, 1, 24, 3, 5, 7
9, 377, 4.787798, 1, 19, 1, 5, 7
10, 410, 4.373171, 1, 13, 1, 4, 6
11, 380, 4.734211, 1, 12, 1, 5, 7
12, 382, 4.717277, 1, 12, 2, 5, 7
13, 389, 4.652956, 1, 13, 3, 5, 6
14, 352, 5.142045, 1, 13, 3, 5, 7
15, 376, 4.787234, 1, 54, 1, 4, 6
16, 380, 4.760526, 1, 19, 3, 4, 7
17, 362, 5.022099, 1, 16, 3, 5, 7
18, 402, 4.472637, 1, 13, 1, 4, 6
19, 366, 4.907104, 1, 19, 3, 5, 7
20, 413, 4.309927, 1, 14, 1, 4, 6
21, 364, 4.991758, 1, 22, 3, 5, 7
22, 349, 5.234957, 1, 17, 3, 5, 7
23, 360, 5.050000, 1, 17, 3, 5, 7
24, 372, 4.830645, 1, 17, 3, 5, 7
25, 364, 4.958791, 1, 14, 1, 5, 7
26, 400, 4.497500, 1, 14, 1, 4, 6
27, 349, 5.220630, 1, 16, 3, 5, 7
28, 375, 4.810667, 1, 14, 3, 5, 7
29, 373, 4.841823, 1, 18, 3, 5, 6
30, 368, 4.915761, 1, 18, 1, 5, 7
31, 382, 4.717277, 1, 14, 3, 5, 6
32, 381, 4.753281, 1, 19, 1, 5, 7
33, 349, 5.200573, 1, 16, 3, 5, 7
34, 379, 4.754617, 1, 14, 2, 5, 7
35, 384, 4.697917, 1, 25, 1, 4, 6
36, 354, 5.146893, 1, 14, 3, 5, 7
37, 362, 5.024862, 1, 19, 3, 5, 7
38, 371, 4.892183, 1, 22, 1, 5, 7
39, 376, 4.816489, 1, 13, 3, 4, 7
40, 386, 4.678756, 1, 18, 3, 5, 6
41, 410, 4.336585, 1, 16, 1, 4, 6
42, 416, 4.358173, 1, 21, 1, 4, 6
43, 342, 5.324561, 1, 21, 3, 5, 7
44, 370, 4.916216, 1, 13, 3, 5, 7
45, 362, 5.033149, 1, 17, 3, 5, 7
46, 387, 4.658915, 1, 19, 1, 4, 7
47, 364, 5.000000, 1, 13, 3, 5, 7
48, 391, 4.621483, 1, 17, 1, 5, 7
49, 371, 4.876011, 1, 15, 1, 5, 7
50, 394, 4.576142, 1, 18, 1, 4, 6
51, 344, 5.325581, 1, 20, 3, 5, 7
52, 362, 5.016575, 1, 14, 3, 5, 7
53, 373, 4.860590, 1, 20, 1, 5, 7
54, 389, 4.670951, 1, 13, 1, 4, 6
55, 388, 4.636598, 1, 19, 2, 5, 6
56, 367, 4.923706, 1, 18, 3, 5, 7
57, 395, 4.541772, 1, 12, 2, 4, 6
58, 391, 4.603581, 1, 21, 2, 4, 6
59, 363, 5.024793, 1, 13, 3, 5, 7
60, 2, 4.000000, 3, 5, 3, 4, 5
