time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 284, 6.566901, 1, 17, 3, 6, 9
1, 298, 6.221477, 1, 19, 2, 6, 9
2, 266, 6.992481, 1, 19, 4, 7, 9
3, 312, 5.916667, 1, 17, 2, 6, 8
4, 266, 6.936090, 1, 19, 4, 7, 9
5, 243, 7.765432, 1, 64, 5, 7, 10
6, 281, 6.651246, 1, 31, 2, 6, 9
7, 274, 6.795620, 1, 18, 3, 7, 9
8, 274, 6.762774, 1, 18, 4, 7, 9
9, 277, 6.747292, 1, 18, 4, 7, 9
10, 290, 6.431034, 1, 18, 3, 6, 9
11, 273, 6.805861, 1, 17, 4, 7, 9
12, 286, 6.506993, 1, 18, 2, 6, 9
13, 272, 6.841912, 1, 19, 4, 7, 9
14, 287, 6.533101, 1, 18, 4, 6, 9
15, 279, 6.605735, 1, 18, 2, 6, 9
16, 291, 6.391753, 1, 19, 2, 6, 9
17, 265, 7.113208, 1, 26, 2, 7, 10
18, 233, 8.047210, 1, 18, 5, 8, 11
19, 246, 7.674797, 1, 19, 5, 8, 11
20, 294, 6.319728, 1, 20, 2, 6, 9
21, 257, 7.054475, 1, 40, 4, 7, 9
22, 66, 27.666667, 1, 206, 3, 8, 36
23, 108, 19.277778, 1, 200, 3, 7, 11
24, 169, 11.680473, 1, 155, 3, 7, 12
25, 269, 6.955390, 1, 40, 4, 6, 9
26, 238, 7.697479, 1, 59, 4, 7, 9
27, 162, 11.759259, 1, 63, 3, 7, 12
28, 166, 11.873494, 1, 96, 5, 8, 13
29, 254, 7.350394, 1, 62, 2, 6, 9
30, 192, 9.921875, 1, 84, 4, 7, 11
31, 215, 8.102326, 1, 136, 2, 6, 9
32, 158, 12.886076, 1, 144, 4, 8, 12
33, 172, 11.058140, 1, 63, 4, 8, 11
34, 137, 14.496350, 1, 103, 4, 8, 15
35, 189, 9.306878, 1, 90, 4, 7, 10
36, 180, 11.372222, 1, 114, 4, 7, 12
37, 172, 11.139535, 1, 125, 4, 7, 10
38, 151, 12.609272, 1, 134, 5, 8, 12
39, 123, 15.910569, 1, 140, 5, 8, 13
40, 162, 11.746914, 1, 88, 2, 7, 10
41, 219, 8.712329, 1, 55, 2, 6, 10
42, 217, 8.691244, 1, 109, 3, 7, 9
43, 177, 10.740113, 1, 76, 5, 7, 11
44, 161, 11.937888, 1, 109, 5, 8, 11
45, 141, 13.659574, 1, 159, 5, 8, 12
46, 203, 9.374384, 1, 123, 2, 7, 10
47, 202, 9.396040, 1, 113, 5, 7, 10
48, 215, 8.572093, 1, 58, 4, 7, 9
49, 191, 10.031414, 1, 70, 4, 8, 11
50, 243, 7.781893, 1, 103, 2, 6, 9
51, 220, 8.300000, 1, 88, 3, 7, 10
52, 174, 11.344828, 1, 176, 2, 6, 10
53, 152, 12.625000, 1, 131, 5, 8, 12
54, 202, 9.336634, 1, 61, 3, 6, 10
55, 138, 13.898551, 1, 150, 5, 8, 13
56, 182, 10.631868, 1, 72, 3, 6, 10
57, 183, 10.147541, 1, 66, 4, 7, 10
58, 171, 11.467836, 1, 66, 3, 7, 11
59, 182, 10.324176, 1, 109, 3, 7, 10
