time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 779, 4.585366, 0, 42, 1, 3, 5
1, 815, 4.368098, 0, 41, 1, 3, 5
2, 831, 4.269555, 0, 49, 1, 3, 5
3, 796, 4.457286, 0, 50, 1, 3, 5
4, 798, 4.493734, 0, 44, 1, 3, 5
5, 881, 4.001135, 0, 36, 1, 3, 5
6, 825, 4.284848, 0, 44, 1, 3, 5
7, 841, 4.225922, 0, 38, 1, 3, 5
8, 860, 4.093023, 0, 39, 1, 3, 5
9, 834, 4.287770, 0, 40, 1, 3, 5
10, 810, 4.369136, 0, 74, 1, 3, 5
11, 824, 4.315534, 0, 42, 1, 3, 5
12, 826, 4.292978, 0, 36, 1, 3, 5
13, 827, 4.309553, 0, 43, 1, 3, 5
14, 831, 4.282792, 0, 32, 1, 3, 5
15, 819, 4.389499, 0, 48, 1, 3, 5
16, 797, 4.478043, 0, 50, 1, 3, 5
17, 810, 4.402469, 0, 33, 1, 3, 5
18, 776, 4.628866, 0, 73, 1, 3, 5
19, 824, 4.319175, 0, 60, 1, 3, 5
20, 793, 4.500631, 0, 44, 1, 3, 5
21, 802, 4.452618, 0, 39, 1, 3, 5
22, 851, 4.175088, 0, 53, 1, 3, 5
23, 819, 4.324786, 0, 34, 1, 3, 5
24, 861, 4.120790, 0, 37, 1, 3, 5
25, 844, 4.208531, 0, 38, 1, 3, 5
26, 773, 4.663648, 0, 53, 1, 3, 5
27, 796, 4.472362, 0, 48, 1, 3, 5
28, 791, 4.523388, 0, 39, 1, 3, 5
29, 844, 4.197867, 0, 39, 1, 3, 5
30, 836, 4.239234, 0, 49, 1, 3, 5
31, 861, 4.135889, 0, 35, 1, 3, 5
32, 848, 4.159198, 0, 41, 1, 3, 5
33, 827, 4.280532, 0, 46, 1, 3, 5
34, 807, 4.437423, 0, 44, 1, 3, 5
35, 844, 4.183649, 0, 44, 1, 3, 5
36, 802, 4.442643, 0, 41, 1, 3, 5
37, 849, 4.191991, 0, 46, 1, 3, 5
38, 837, 4.241338, 0, 36, 1, 3, 5
39, 836, 4.269139, 0, 43, 1, 3, 5
40, 870, 4.065517, 0, 41, 1, 3, 5
41, 809, 4.383189, 0, 51, 1, 3, 5
42, 681, 5.368576, 0, 92, 1, 3, 6
43, 779, 4.554557, 0, 68, 1, 3, 5
44, 808, 4.441832, 0, 45, 1, 3, 5
45, 831, 4.262335, 0, 45, 1, 3, 5
46, 830, 4.261446, 0, 47, 1, 3, 5
47, 799, 4.503129, 0, 44, 1, 3, 5
48, 831, 4.275572, 0, 44, 1, 3, 5
49, 791, 4.501896, 0, 50, 1, 3, 5
50, 852, 4.173709, 0, 42, 1, 3, 5
51, 839, 4.222884, 0, 39, 1, 3, 5
52, 799, 4.434293, 0, 47, 1, 3, 5
53, 833, 4.315726, 0, 32, 1, 3, 5
54, 831, 4.279182, 0, 35, 1, 3, 5
55, 845, 4.197633, 0, 42, 1, 3, 5
56, 810, 4.379012, 0, 37, 1, 3, 5
57, 845, 4.190533, 0, 38, 1, 3, 5
58, 849, 4.187279, 0, 46, 1, 3, 5
59, 819, 4.371184, 0, 40, 1, 3, 5
60, 1, 1.000000, 1, 1, 1, 1, 1
